2.483, 2.000
-0.446, 1.000
-2.222, 7.000
1.578, 1.000
-2.302, 7.000
-0.498, 2.000
1.136, 3.000
0.219, 1.000
-0.171, 1.000
-2.259, 22.000
0.442, 6.000
5.583, 1.000
1.529, 7.000
-0.937, 4.000
-0.602, 2.000
-0.401, 8.000
-0.796, 1.000
-0.221, 8.000
1.620, 0.000
-2.288, 9.000
-1.584, 1.000
7.160, 1.000
0.763, 1.000
-0.567, 3.000
0.096, 2.000
-2.492, 2.000
-0.156, 1.000
-2.331, 3.000
-2.439, 1.000
-0.383, 0.000
-0.298, 13.000
-0.533, 1.000
-0.316, 5.000
0.507, 0.000
5.270, 1.000
-2.623, 3.000
0.741, 1.000
3.819, 1.000
0.737, 1.000
1.293, 1.000
-0.393, 1.000
-0.767, 0.000
-0.476, 2.000
-0.158, 15.000
-1.917, 7.000
-0.465, 3.000
-0.293, 7.000
1.409, 13.000
-3.115, 2.000
4.888, 3.000
-0.154, 3.000
0.858, 1.000
-2.893, 3.000
0.880, 7.000
-3.433, 2.000
-0.351, 1.000
-2.113, 4.000
1.674, 1.000
-2.270, 3.000
-0.454, 1.000
-2.374, 2.000
3.526, 2.000
1.361, 6.000
-2.495, 16.000
-0.730, 2.000
1.295, 5.000
0.576, 0.000
-2.389, 3.000
4.506, 2.000
1.441, 1.000
4.860, 1.000
-1.081, 1.000
0.942, 1.000
-0.090, 2.000
0.222, 1.000
-0.116, 1.000
0.716, 1.000
0.773, 1.000
1.496, 1.000
-2.196, 1.000
1.479, 6.000
-0.063, 0.000
-0.493, 1.000
0.000, 25.000
-2.308, 15.000
1.520, 1.000
-0.469, 1.000
-0.568, 3.000
1.472, 2.000
-1.362, 2.000
8.324, 1.000
-0.588, 1.000
-2.369, 1.000
1.549, 2.000
0.316, 12.000
0.000, 2.000
8.330, 4.000
-0.367, 1.000
-0.602, 3.000
-2.420, 3.000
9.803, 1.000
0.881, 2.000
1.423, 1.000
-0.021, 1.000
-0.558, 0.000
2.736, 1.000
-0.341, 0.000
1.285, 1.000
-1.384, 1.000
0.000, 10.000
5.784, 1.000
3.818, 1.000
-1.023, 4.000
-0.531, 2.000
0.845, 1.000
-0.716, 1.000
