[3, 16, 512, 0.001, 0.0001, 0.05, 'exp']
[3, 32, 512, 0.01, 1e-06, 0.5, 'poly']
[3, 16, 128, 0.01, 1e-06, 0.5, 'exp']
[3, 64, 512, 0.001, 1e-06, 0.1, 'exp']
[3, 32, 128, 0.001, 1e-05, 0.05, 'poly']
[3, 64, 1024, 0.001, 1e-05, 1.0, 'exp']
[3, 64, 512, 0.001, 0.0001, 0.01, 'poly']
[3, 32, 128, 0.01, 1e-05, 1.0, 'poly']
[3, 16, 1024, 0.01, 1e-05, 0.01, 'linear']
[3, 64, 512, 0.01, 0.0001, 1.0, 'exp']
[3, 16, 128, 0.001, 1e-06, 0.5, 'exp']
[3, 32, 128, 0.01, 0.0001, 0.05, 'exp']
[3, 16, 1024, 0.001, 1e-06, 0.1, 'exp']
[3, 32, 256, 0.01, 0.0001, 1.0, 'poly']
[3, 32, 1024, 0.001, 1e-05, 0.01, 'exp']
[3, 16, 256, 0.01, 1e-05, 0.05, 'exp']
[3, 32, 1024, 0.01, 1e-05, 0.5, 'exp']
[3, 32, 128, 0.001, 0.0001, 0.05, 'exp']
[3, 16, 512, 0.01, 1e-05, 0.1, 'poly']
[3, 32, 512, 0.01, 1e-06, 1.0, 'exp']
[3, 64, 1024, 0.001, 1e-05, 0.05, 'exp']
[3, 32, 512, 0.01, 1e-06, 0.1, 'exp']
[3, 64, 256, 0.001, 1e-06, 0.01, 'exp']
[3, 64, 256, 0.01, 1e-06, 1.0, 'poly']
[3, 16, 128, 0.001, 0.0001, 0.1, 'exp']
[3, 64, 256, 0.001, 1e-05, 0.05, 'poly']
[3, 32, 128, 0.001, 1e-05, 0.5, 'exp']
[3, 16, 256, 0.01, 1e-06, 0.01, 'exp']
[3, 32, 1024, 0.01, 0.0001, 0.1, 'poly']
[3, 32, 512, 0.001, 1e-05, 0.05, 'exp']
[3, 64, 512, 0.01, 0.0001, 0.1, 'poly']
[3, 64, 512, 0.001, 1e-05, 0.01, 'poly']
[3, 64, 1024, 0.001, 0.0001, 0.1, 'exp']
[3, 64, 1024, 0.001, 1e-06, 1.0, 'exp']
[3, 32, 512, 0.01, 1e-06, 0.1, 'linear']
[3, 64, 256, 0.001, 0.0001, 0.01, 'exp']
[3, 64, 128, 0.01, 0.0001, 0.01, 'poly']
[3, 16, 512, 0.01, 1e-06, 0.5, 'linear']
[3, 32, 128, 0.01, 1e-05, 0.01, 'exp']
[3, 64, 128, 0.001, 0.0001, 1.0, 'exp']
[3, 32, 256, 0.01, 1e-05, 1.0, 'poly']
[3, 64, 256, 0.001, 0.0001, 0.1, 'exp']
[3, 64, 512, 0.001, 0.0001, 0.05, 'exp']
[3, 32, 1024, 0.001, 0.0001, 0.1, 'exp']
[3, 64, 1024, 0.001, 1e-05, 0.1, 'exp']
[3, 16, 1024, 0.01, 0.0001, 0.01, 'poly']
[3, 64, 256, 0.01, 1e-06, 0.01, 'exp']
[3, 64, 512, 0.01, 1e-05, 1.0, 'poly']
[3, 16, 256, 0.001, 1e-05, 0.1, 'exp']
[3, 32, 512, 0.001, 1e-06, 0.01, 'exp']
[3, 32, 512, 0.01, 0.0001, 0.01, 'exp']
[3, 32, 256, 0.001, 1e-06, 0.01, 'exp']
[3, 32, 1024, 0.01, 0.0001, 0.1, 'exp']
[3, 64, 128, 0.001, 1e-06, 1.0, 'exp']
[3, 32, 1024, 0.01, 0.0001, 0.1, 'exp']
[3, 32, 512, 0.001, 1e-06, 0.05, 'exp']
[3, 64, 1024, 0.01, 1e-06, 0.01, 'poly']
[3, 32, 256, 0.01, 0.0001, 0.5, 'poly']
[3, 32, 512, 0.001, 1e-06, 0.01, 'linear']
[3, 32, 128, 0.001, 1e-05, 0.01, 'exp']
[3, 64, 512, 0.001, 1e-06, 1.0, 'exp']
[3, 32, 512, 0.001, 0.0001, 1.0, 'exp']
[3, 64, 128, 0.001, 1e-06, 0.5, 'poly']
[3, 64, 256, 0.001, 1e-05, 1.0, 'linear']
[3, 16, 1024, 0.01, 1e-06, 0.5, 'exp']
[3, 64, 256, 0.001, 0.0001, 0.01, 'exp']
[3, 64, 512, 0.001, 1e-06, 1.0, 'exp']
[3, 16, 1024, 0.01, 1e-06, 0.05, 'exp']
[3, 32, 128, 0.001, 1e-06, 0.01, 'exp']
[3, 32, 1024, 0.001, 0.0001, 0.01, 'exp']
[3, 64, 256, 0.001, 1e-06, 0.01, 'exp']
[3, 64, 1024, 0.01, 1e-05, 1.0, 'exp']
[3, 32, 256, 0.001, 1e-06, 0.01, 'exp']
[3, 64, 256, 0.01, 0.0001, 0.1, 'exp']
[3, 32, 512, 0.001, 0.0001, 1.0, 'exp']
[3, 32, 512, 0.01, 0.0001, 0.01, 'linear']
[3, 16, 256, 0.001, 1e-06, 1.0, 'poly']
[3, 32, 256, 0.001, 1e-06, 1.0, 'exp']
[3, 64, 128, 0.001, 1e-06, 0.1, 'exp']
[3, 16, 128, 0.01, 0.0001, 0.1, 'poly']
[3, 16, 256, 0.001, 0.0001, 0.05, 'exp']
[3, 16, 1024, 0.001, 1e-06, 0.5, 'exp']
[3, 64, 128, 0.01, 1e-05, 0.01, 'linear']
[3, 64, 256, 0.001, 1e-06, 0.5, 'exp']
[3, 16, 256, 0.01, 0.0001, 0.01, 'exp']
[3, 32, 512, 0.001, 0.0001, 0.1, 'exp']
[3, 64, 512, 0.001, 0.0001, 0.5, 'exp']
[3, 64, 128, 0.01, 1e-06, 1.0, 'exp']
[3, 16, 512, 0.01, 1e-06, 0.5, 'exp']
[3, 16, 256, 0.001, 1e-05, 1.0, 'exp']
[3, 32, 1024, 0.01, 1e-05, 1.0, 'exp']
[3, 64, 512, 0.01, 1e-05, 0.1, 'exp']
[3, 32, 1024, 0.01, 1e-06, 1.0, 'exp']
[3, 64, 512, 0.01, 0.0001, 1.0, 'exp']
[3, 16, 1024, 0.001, 1e-06, 0.1, 'exp']
[3, 64, 256, 0.01, 1e-05, 1.0, 'linear']
[3, 64, 1024, 0.01, 1e-05, 0.01, 'poly']
[3, 16, 128, 0.01, 0.0001, 1.0, 'exp']
[3, 64, 256, 0.01, 0.0001, 0.1, 'exp']
[3, 32, 128, 0.01, 0.0001, 0.5, 'exp']
[3, 32, 128, 0.01, 1e-05, 1.0, 'exp']
[3, 32, 256, 0.01, 1e-05, 0.05, 'poly']
[3, 32, 128, 0.01, 1e-05, 0.5, 'exp']
