125, [3, 64, 512, 0.001, 1e-05]
126, [3, 64, 1024, 0.01, 1e-05]
127, [3, 64, 1024, 0.01, 1e-05]
128, [3, 32, 512, 0.001, 1e-06]
129, [3, 32, 512, 0.001, 1e-06]
130, [3, 64, 512, 0.001, 1e-05]
131, [3, 32, 512, 0.01, 1e-06]
132, [3, 64, 512, 0.01, 1e-06]
133, [3, 64, 1024, 0.01, 1e-06]
134, [3, 32, 512, 0.01, 1e-06]
135, [3, 32, 512, 0.001, 1e-05]
136, [3, 64, 1024, 0.01, 1e-06]
137, [3, 32, 512, 0.01, 1e-06]
138, [3, 32, 1024, 0.001, 1e-06]
139, [3, 32, 128, 0.01, 1e-05]
140, [3, 32, 512, 0.01, 1e-06]
141, [3, 64, 128, 0.001, 1e-05]
142, [3, 64, 512, 0.01, 1e-05]
143, [3, 64, 128, 0.001, 1e-06]
144, [3, 64, 512, 0.001, 1e-06]
145, [3, 64, 128, 0.001, 1e-06]
146, [3, 32, 512, 0.001, 1e-05]
147, [3, 32, 512, 0.01, 1e-05]
148, [3, 32, 512, 0.01, 1e-05]
149, [3, 64, 512, 0.01, 1e-05]
150, [3, 32, 512, 0.01, 1e-06]
151, [3, 64, 1024, 0.01, 1e-06]
152, [3, 32, 512, 0.01, 1e-06]
153, [3, 32, 512, 0.01, 1e-06]
154, [3, 64, 512, 0.01, 1e-05]
155, [3, 32, 1024, 0.01, 1e-05]
156, [3, 64, 512, 0.01, 1e-05]
157, [3, 64, 512, 0.001, 1e-06]
158, [3, 64, 1024, 0.001, 1e-06]
159, [3, 64, 512, 0.01, 1e-06]
160, [3, 32, 1024, 0.01, 1e-06]
161, [3, 64, 1024, 0.001, 1e-05]
162, [3, 64, 128, 0.001, 1e-06]
163, [3, 32, 512, 0.001, 1e-05]
164, [3, 32, 512, 0.001, 1e-05]
165, [3, 64, 512, 0.001, 1e-06]
166, [3, 32, 128, 0.01, 1e-06]
167, [3, 32, 1024, 0.01, 1e-05]
168, [3, 64, 1024, 0.001, 1e-06]
169, [3, 64, 512, 0.01, 1e-05]
170, [3, 64, 128, 0.001, 1e-06]
171, [3, 32, 512, 0.01, 1e-06]
172, [3, 32, 128, 0.001, 1e-06]
173, [3, 32, 512, 0.001, 1e-05]
174, [3, 32, 128, 0.01, 1e-05]
175, [3, 32, 512, 0.01, 1e-05]
176, [3, 32, 512, 0.01, 1e-05]
177, [3, 64, 128, 0.01, 1e-06]
178, [3, 64, 512, 0.001, 1e-06]
179, [3, 32, 512, 0.01, 1e-05]
180, [3, 64, 512, 0.01, 1e-06]
181, [3, 64, 512, 0.01, 1e-06]
182, [3, 32, 512, 0.001, 1e-06]
183, [3, 64, 128, 0.001, 1e-05]
184, [3, 64, 128, 0.001, 1e-05]
185, [3, 32, 1024, 0.01, 1e-06]
186, [3, 64, 256, 0.01, 1e-06]
187, [3, 64, 128, 0.001, 1e-05]
188, [3, 64, 512, 0.001, 1e-06]
189, [3, 64, 512, 0.001, 1e-06]
190, [3, 32, 512, 0.01, 1e-05]
191, [3, 64, 1024, 0.001, 1e-05]
192, [3, 32, 512, 0.001, 1e-06]
193, [3, 64, 128, 0.01, 1e-05]
194, [3, 32, 512, 0.01, 1e-06]
195, [3, 32, 1024, 0.01, 1e-06]
196, [3, 64, 512, 0.01, 1e-06]
197, [3, 64, 128, 0.001, 1e-06]
198, [3, 32, 128, 0.01, 1e-06]
199, [3, 64, 128, 0.01, 1e-05]
200, [3, 64, 512, 0.01, 1e-05]
201, [3, 64, 512, 0.01, 1e-05]
202, [3, 64, 512, 0.001, 1e-06]
203, [3, 64, 512, 0.01, 1e-05]
204, [3, 32, 128, 0.01, 1e-06]
205, [3, 32, 512, 0.01, 1e-06]
206, [3, 64, 128, 0.01, 1e-05]
207, [3, 64, 128, 0.01, 1e-05]
208, [3, 64, 512, 0.001, 1e-06]
209, [3, 64, 512, 0.01, 1e-06]
210, [3, 32, 1024, 0.01, 1e-05]
211, [3, 32, 512, 0.01, 1e-05]
212, [3, 64, 512, 0.01, 1e-06]
213, [3, 64, 128, 0.01, 1e-06]
214, [3, 64, 512, 0.001, 1e-05]
215, [3, 32, 512, 0.01, 1e-05]
216, [3, 64, 256, 0.01, 1e-05]
217, [3, 64, 1024, 0.01, 1e-05]
218, [3, 64, 128, 0.001, 1e-05]
219, [3, 32, 512, 0.01, 1e-05]
220, [3, 64, 512, 0.001, 1e-05]
221, [3, 64, 512, 0.001, 1e-06]
222, [3, 32, 128, 0.01, 1e-06]
223, [3, 64, 1024, 0.01, 1e-06]
224, [3, 64, 128, 0.01, 1e-06]
225, [3, 32, 512, 0.001, 1e-05]
226, [3, 32, 512, 0.01, 1e-05]
227, [3, 64, 1024, 0.01, 1e-06]
228, [3, 32, 256, 0.001, 1e-05]
229, [3, 32, 512, 0.001, 1e-05]
230, [3, 32, 512, 0.001, 1e-06]
231, [3, 32, 512, 0.01, 1e-06]
232, [3, 64, 128, 0.01, 1e-05]
233, [3, 64, 128, 0.01, 1e-06]
234, [3, 64, 128, 0.001, 1e-05]
235, [3, 64, 1024, 0.01, 1e-05]
236, [3, 32, 512, 0.001, 1e-06]
237, [3, 64, 512, 0.001, 1e-05]
238, [3, 64, 512, 0.001, 1e-05]
239, [3, 64, 128, 0.01, 1e-05]
240, [3, 32, 1024, 0.01, 1e-05]
241, [3, 32, 512, 0.01, 1e-06]
242, [3, 64, 1024, 0.01, 1e-06]
243, [3, 32, 512, 0.01, 1e-06]
244, [3, 32, 512, 0.001, 1e-06]
245, [3, 64, 512, 0.001, 1e-06]
246, [3, 32, 512, 0.01, 1e-06]
247, [3, 64, 512, 0.001, 1e-06]
248, [3, 64, 512, 0.001, 1e-05]
249, [3, 32, 512, 0.01, 1e-05]
