625, [3, 64, 1024, 0.01, 1e-06]
626, [3, 32, 128, 0.01, 1e-06]
627, [3, 32, 1024, 0.01, 1e-05]
628, [3, 64, 512, 0.01, 1e-05]
629, [3, 64, 1024, 0.01, 1e-05]
630, [3, 64, 128, 0.01, 1e-05]
631, [3, 64, 512, 0.001, 1e-05]
632, [3, 64, 512, 0.01, 1e-06]
633, [3, 32, 512, 0.001, 1e-06]
634, [3, 32, 512, 0.001, 1e-05]
635, [3, 32, 1024, 0.001, 1e-06]
636, [3, 64, 1024, 0.01, 1e-06]
637, [3, 32, 512, 0.01, 1e-06]
638, [3, 64, 1024, 0.01, 1e-05]
639, [3, 32, 128, 0.01, 1e-06]
640, [3, 64, 512, 0.01, 1e-05]
641, [3, 64, 512, 0.001, 1e-05]
642, [3, 32, 512, 0.01, 1e-05]
643, [3, 32, 512, 0.01, 1e-05]
644, [3, 64, 128, 0.001, 1e-06]
645, [3, 64, 512, 0.01, 1e-05]
646, [3, 32, 1024, 0.01, 1e-05]
647, [3, 64, 512, 0.001, 1e-06]
648, [3, 64, 1024, 0.01, 1e-05]
649, [3, 64, 1024, 0.01, 1e-06]
650, [3, 64, 1024, 0.01, 1e-05]
651, [3, 32, 512, 0.01, 1e-06]
652, [3, 32, 512, 0.01, 1e-05]
653, [3, 64, 512, 0.01, 1e-06]
654, [3, 32, 128, 0.01, 1e-06]
655, [3, 64, 128, 0.01, 1e-05]
656, [3, 32, 512, 0.001, 1e-06]
657, [3, 32, 128, 0.01, 1e-05]
658, [3, 64, 512, 0.001, 1e-06]
659, [3, 64, 512, 0.001, 1e-05]
660, [3, 64, 512, 0.01, 1e-05]
661, [3, 64, 512, 0.01, 1e-05]
662, [3, 32, 128, 0.01, 1e-05]
663, [3, 64, 1024, 0.001, 1e-05]
