1.00, 0.70, 5.00
0.10, 0.90, 5.00
1.00, 0.90, 10.00
0.10, 0.50, 10.00
1.00, 0.70, 10.00
0.10, 0.90, 5.00
0.10, 0.50, 5.00
1.00, 0.70, 5.00
0.10, 0.90, 5.00
0.50, 0.70, 5.00
0.10, 0.90, 10.00
0.10, 0.70, 10.00
0.10, 0.50, 5.00
0.10, 0.90, 10.00
1.00, 0.70, 5.00
0.10, 0.50, 10.00
0.50, 0.70, 10.00
0.10, 0.70, 10.00
0.10, 0.70, 10.00
1.00, 0.70, 10.00
0.10, 0.90, 5.00
1.00, 0.70, 5.00
0.10, 0.70, 5.00
0.50, 0.90, 10.00
1.00, 0.70, 5.00
1.00, 0.70, 5.00
1.00, 0.90, 5.00
0.10, 0.70, 10.00
0.50, 0.70, 5.00
0.10, 0.50, 5.00
0.10, 0.70, 5.00
0.50, 0.50, 10.00
0.10, 0.50, 5.00
1.00, 0.50, 5.00
1.00, 0.50, 10.00
1.00, 0.50, 5.00
1.00, 0.90, 5.00
1.00, 0.50, 10.00
1.00, 0.50, 5.00
0.50, 0.90, 5.00
0.50, 0.70, 10.00
0.50, 0.70, 5.00
0.50, 0.50, 5.00
0.50, 0.90, 5.00
0.50, 0.90, 10.00
1.00, 0.50, 10.00
1.00, 0.50, 5.00
1.00, 0.90, 10.00
0.50, 0.90, 10.00
1.00, 0.50, 10.00
0.50, 0.70, 10.00
0.10, 0.50, 10.00
1.00, 0.50, 10.00
1.00, 0.50, 5.00
0.50, 0.50, 10.00
0.50, 0.70, 10.00
0.10, 0.90, 5.00
0.50, 0.70, 5.00
1.00, 0.70, 10.00
0.50, 0.90, 10.00
1.00, 0.90, 10.00
1.00, 0.90, 10.00
0.10, 0.70, 5.00
0.10, 0.50, 5.00
0.10, 0.50, 10.00
0.50, 0.70, 5.00
0.10, 0.70, 10.00
0.10, 0.50, 5.00
1.00, 0.50, 5.00
1.00, 0.70, 10.00
0.10, 0.70, 10.00
0.10, 0.90, 5.00
0.10, 0.50, 10.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
0.10, 0.50, 10.00
0.50, 0.70, 5.00
1.00, 0.90, 10.00
1.00, 0.70, 5.00
1.00, 0.90, 10.00
0.50, 0.90, 10.00
0.10, 0.90, 5.00
0.10, 0.90, 5.00
0.50, 0.90, 5.00
0.10, 0.90, 5.00
0.50, 0.50, 10.00
1.00, 0.90, 10.00
0.10, 0.70, 5.00
1.00, 0.70, 10.00
1.00, 0.90, 10.00
0.10, 0.50, 5.00
1.00, 0.50, 5.00
0.50, 0.90, 5.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
0.10, 0.90, 10.00
0.10, 0.70, 5.00
0.50, 0.90, 10.00
0.50, 0.70, 10.00
0.10, 0.90, 10.00
0.50, 0.50, 10.00
0.50, 0.70, 5.00
0.50, 0.50, 10.00
1.00, 0.70, 10.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
1.00, 0.50, 10.00
0.50, 0.90, 5.00
1.00, 0.50, 5.00
1.00, 0.70, 10.00
1.00, 0.90, 10.00
1.00, 0.70, 10.00
1.00, 0.70, 5.00
1.00, 0.50, 5.00
1.00, 0.50, 10.00
0.10, 0.50, 5.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
0.50, 0.50, 10.00
1.00, 0.90, 5.00
0.10, 0.70, 10.00
0.50, 0.50, 10.00
0.10, 0.50, 10.00
1.00, 0.90, 5.00
1.00, 0.50, 5.00
1.00, 0.50, 5.00
1.00, 0.90, 5.00
1.00, 0.50, 10.00
0.50, 0.90, 5.00
1.00, 0.70, 10.00
1.00, 0.90, 10.00
0.50, 0.90, 5.00
0.50, 0.50, 5.00
1.00, 0.50, 10.00
0.50, 0.70, 5.00
0.50, 0.50, 5.00
0.50, 0.90, 10.00
1.00, 0.90, 10.00
0.50, 0.50, 10.00
1.00, 0.70, 10.00
0.10, 0.50, 10.00
0.10, 0.70, 10.00
0.10, 0.70, 10.00
1.00, 0.50, 5.00
0.50, 0.70, 5.00
0.10, 0.90, 10.00
0.50, 0.50, 5.00
0.10, 0.70, 5.00
1.00, 0.70, 5.00
0.50, 0.90, 5.00
0.50, 0.90, 5.00
1.00, 0.50, 10.00
1.00, 0.90, 5.00
1.00, 0.50, 5.00
0.50, 0.70, 5.00
1.00, 0.70, 10.00
0.10, 0.90, 5.00
1.00, 0.50, 5.00
0.10, 0.90, 5.00
0.10, 0.70, 10.00
0.10, 0.70, 10.00
0.10, 0.90, 5.00
0.50, 0.50, 10.00
0.10, 0.90, 5.00
0.50, 0.50, 5.00
1.00, 0.50, 5.00
0.10, 0.50, 5.00
0.10, 0.90, 5.00
0.50, 0.50, 10.00
0.50, 0.50, 10.00
1.00, 0.90, 10.00
0.10, 0.50, 10.00
0.10, 0.70, 5.00
1.00, 0.50, 10.00
1.00, 0.50, 10.00
1.00, 0.50, 10.00
0.50, 0.50, 5.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
1.00, 0.70, 10.00
0.50, 0.50, 10.00
0.50, 0.90, 5.00
0.50, 0.70, 10.00
0.10, 0.90, 5.00
0.50, 0.90, 5.00
0.10, 0.70, 5.00
1.00, 0.90, 5.00
1.00, 0.90, 10.00
1.00, 0.50, 10.00
1.00, 0.70, 10.00
1.00, 0.90, 10.00
1.00, 0.50, 10.00
0.10, 0.50, 5.00
0.10, 0.90, 5.00
0.50, 0.50, 10.00
0.50, 0.70, 10.00
0.50, 0.70, 5.00
0.10, 0.90, 5.00
1.00, 0.70, 10.00
1.00, 0.50, 5.00
0.50, 0.90, 10.00
0.50, 0.90, 5.00
0.10, 0.70, 10.00
0.10, 0.90, 10.00
1.00, 0.70, 5.00
0.10, 0.70, 10.00
0.50, 0.50, 10.00
1.00, 0.70, 5.00
0.10, 0.50, 5.00
0.10, 0.70, 5.00
0.10, 0.70, 10.00
0.10, 0.50, 5.00
0.10, 0.50, 10.00
0.10, 0.70, 5.00
1.00, 0.70, 5.00
0.50, 0.70, 5.00
1.00, 0.70, 5.00
0.10, 0.90, 5.00
1.00, 0.70, 10.00
1.00, 0.50, 5.00
1.00, 0.50, 10.00
0.50, 0.90, 10.00
0.10, 0.90, 10.00
1.00, 0.70, 10.00
0.50, 0.50, 5.00
0.50, 0.50, 5.00
0.10, 0.90, 5.00
1.00, 0.50, 5.00
0.50, 0.70, 10.00
0.50, 0.90, 5.00
0.10, 0.90, 5.00
0.50, 0.70, 10.00
1.00, 0.50, 5.00
0.50, 0.70, 5.00
0.50, 0.70, 5.00
1.00, 0.50, 5.00
0.50, 0.90, 10.00
1.00, 0.50, 10.00
1.00, 0.70, 10.00
0.50, 0.70, 10.00
1.00, 0.90, 10.00
0.50, 0.70, 10.00
1.00, 0.90, 5.00
1.00, 0.70, 10.00
0.10, 0.50, 5.00
0.50, 0.50, 10.00
1.00, 0.50, 5.00
0.10, 0.90, 10.00
0.50, 0.50, 10.00
0.10, 0.90, 10.00
0.50, 0.90, 10.00
0.50, 0.50, 10.00
0.50, 0.70, 10.00
0.50, 0.50, 10.00
1.00, 0.50, 5.00
0.10, 0.90, 10.00
0.10, 0.70, 10.00
0.50, 0.70, 5.00
0.10, 0.50, 10.00
1.00, 0.50, 5.00
0.10, 0.50, 5.00
0.50, 0.90, 5.00
1.00, 0.70, 5.00
1.00, 0.50, 10.00
1.00, 0.50, 5.00
0.10, 0.50, 5.00
1.00, 0.90, 5.00
0.10, 0.90, 10.00
1.00, 0.90, 10.00
1.00, 0.70, 10.00
1.00, 0.70, 5.00
1.00, 0.70, 10.00
0.10, 0.70, 5.00
0.10, 0.50, 5.00
0.10, 0.70, 5.00
0.10, 0.90, 5.00
0.50, 0.90, 10.00
0.50, 0.70, 10.00
1.00, 0.90, 5.00
1.00, 0.70, 10.00
0.10, 0.70, 5.00
0.10, 0.70, 10.00
0.10, 0.50, 5.00
1.00, 0.50, 5.00
1.00, 0.90, 10.00
1.00, 0.70, 5.00
0.10, 0.90, 5.00
1.00, 0.90, 5.00
1.00, 0.50, 10.00
0.10, 0.70, 5.00
0.10, 0.70, 10.00
1.00, 0.70, 5.00
0.10, 0.70, 10.00
0.10, 0.70, 5.00
0.50, 0.70, 10.00
0.10, 0.50, 10.00
0.50, 0.70, 10.00
1.00, 0.50, 5.00
0.50, 0.70, 5.00
1.00, 0.90, 10.00
0.50, 0.50, 5.00
1.00, 0.50, 10.00
0.10, 0.50, 5.00
0.50, 0.90, 10.00
0.50, 0.90, 10.00
1.00, 0.90, 5.00
1.00, 0.90, 5.00
0.10, 0.70, 10.00
0.10, 0.70, 5.00
0.50, 0.70, 10.00
0.50, 0.50, 5.00
1.00, 0.50, 10.00
0.10, 0.70, 10.00
1.00, 0.50, 10.00
0.50, 0.90, 5.00
1.00, 0.70, 5.00
0.50, 0.90, 10.00
0.50, 0.50, 10.00
0.10, 0.90, 5.00
0.50, 0.50, 5.00
1.00, 0.50, 5.00
1.00, 0.90, 10.00
0.50, 0.70, 5.00
1.00, 0.50, 5.00
0.50, 0.50, 10.00
0.50, 0.50, 5.00
0.10, 0.70, 10.00
0.10, 0.50, 10.00
0.10, 0.50, 5.00
1.00, 0.50, 5.00
0.50, 0.50, 10.00
0.10, 0.50, 10.00
1.00, 0.50, 10.00
0.50, 0.50, 10.00
1.00, 0.70, 5.00
1.00, 0.70, 5.00
1.00, 0.50, 10.00
0.10, 0.70, 10.00
1.00, 0.90, 5.00
1.00, 0.50, 5.00
0.50, 0.70, 5.00
0.10, 0.90, 10.00
0.10, 0.90, 10.00
