500, [3, 64, 512, 0.001, 1e-06]
501, [3, 64, 512, 0.001, 1e-05]
502, [3, 64, 512, 0.01, 1e-06]
503, [3, 64, 512, 0.01, 1e-06]
504, [3, 32, 1024, 0.01, 1e-05]
505, [3, 64, 512, 0.01, 1e-05]
506, [3, 64, 1024, 0.01, 1e-05]
507, [3, 32, 512, 0.01, 1e-06]
508, [3, 32, 128, 0.001, 1e-05]
509, [3, 32, 512, 0.001, 1e-06]
510, [3, 64, 512, 0.001, 1e-05]
511, [3, 32, 1024, 0.01, 1e-05]
512, [3, 64, 1024, 0.001, 1e-05]
513, [3, 32, 512, 0.01, 1e-05]
514, [3, 64, 512, 0.01, 1e-06]
515, [3, 64, 1024, 0.001, 1e-05]
516, [3, 64, 512, 0.01, 1e-05]
517, [3, 32, 256, 0.01, 1e-05]
518, [3, 64, 512, 0.01, 1e-06]
519, [3, 64, 128, 0.001, 1e-06]
520, [3, 32, 512, 0.001, 1e-05]
521, [3, 64, 512, 0.01, 1e-05]
522, [3, 32, 512, 0.01, 1e-05]
523, [3, 64, 512, 0.01, 1e-05]
524, [3, 64, 128, 0.01, 1e-06]
525, [3, 32, 512, 0.01, 1e-05]
526, [3, 64, 128, 0.01, 1e-06]
527, [3, 32, 512, 0.01, 1e-05]
528, [3, 32, 512, 0.01, 1e-05]
529, [3, 64, 1024, 0.001, 1e-06]
530, [3, 64, 128, 0.001, 1e-05]
531, [3, 32, 1024, 0.01, 1e-06]
532, [3, 32, 512, 0.001, 1e-06]
533, [3, 64, 128, 0.001, 1e-06]
534, [3, 64, 512, 0.01, 1e-06]
535, [3, 32, 512, 0.01, 1e-06]
536, [3, 32, 512, 0.001, 1e-06]
537, [3, 64, 256, 0.001, 1e-05]
538, [3, 64, 512, 0.001, 1e-05]
539, [3, 32, 512, 0.01, 1e-05]
540, [3, 64, 512, 0.001, 1e-06]
541, [3, 64, 512, 0.001, 1e-05]
542, [3, 64, 512, 0.01, 1e-05]
543, [3, 64, 1024, 0.01, 1e-05]
544, [3, 32, 128, 0.01, 1e-05]
545, [3, 32, 512, 0.01, 1e-05]
546, [3, 64, 1024, 0.01, 1e-06]
547, [3, 64, 512, 0.001, 1e-06]
548, [3, 64, 512, 0.001, 1e-06]
549, [3, 64, 1024, 0.001, 1e-06]
550, [3, 32, 512, 0.001, 1e-05]
551, [3, 64, 512, 0.001, 1e-06]
552, [3, 64, 512, 0.01, 1e-05]
553, [3, 32, 1024, 0.01, 1e-05]
554, [3, 32, 512, 0.01, 1e-05]
555, [3, 64, 512, 0.01, 1e-06]
556, [3, 64, 512, 0.001, 1e-06]
557, [3, 64, 512, 0.001, 1e-05]
558, [3, 64, 1024, 0.01, 1e-05]
559, [3, 32, 512, 0.01, 1e-06]
560, [3, 64, 512, 0.01, 1e-05]
561, [3, 32, 1024, 0.01, 1e-06]
562, [3, 64, 512, 0.001, 1e-06]
563, [3, 32, 512, 0.001, 1e-06]
564, [3, 32, 1024, 0.01, 1e-06]
565, [3, 64, 128, 0.01, 1e-05]
566, [3, 64, 512, 0.001, 1e-05]
567, [3, 64, 512, 0.01, 1e-05]
568, [3, 64, 512, 0.01, 1e-06]
569, [3, 32, 1024, 0.01, 1e-06]
570, [3, 32, 128, 0.001, 1e-05]
571, [3, 64, 1024, 0.01, 1e-05]
572, [3, 32, 512, 0.01, 1e-06]
573, [3, 64, 1024, 0.01, 1e-06]
574, [3, 64, 512, 0.001, 1e-05]
575, [3, 64, 512, 0.01, 1e-06]
576, [3, 64, 512, 0.01, 1e-06]
577, [3, 32, 128, 0.01, 1e-05]
578, [3, 32, 128, 0.01, 1e-05]
579, [3, 64, 512, 0.01, 1e-06]
580, [3, 64, 128, 0.01, 1e-06]
581, [3, 64, 512, 0.01, 1e-06]
582, [3, 64, 128, 0.01, 1e-06]
583, [3, 64, 512, 0.01, 1e-06]
584, [3, 64, 512, 0.001, 1e-05]
585, [3, 64, 1024, 0.01, 1e-06]
586, [3, 32, 256, 0.01, 1e-05]
587, [3, 64, 128, 0.001, 1e-06]
588, [3, 64, 512, 0.001, 1e-05]
589, [3, 32, 1024, 0.01, 1e-05]
590, [3, 32, 512, 0.001, 1e-06]
591, [3, 32, 512, 0.01, 1e-05]
592, [3, 32, 512, 0.001, 1e-06]
593, [3, 32, 512, 0.01, 1e-06]
594, [3, 64, 128, 0.001, 1e-05]
595, [3, 64, 1024, 0.001, 1e-05]
596, [3, 64, 1024, 0.01, 1e-05]
597, [3, 64, 128, 0.001, 1e-05]
598, [3, 32, 256, 0.001, 1e-05]
599, [3, 32, 128, 0.01, 1e-06]
600, [3, 64, 512, 0.01, 1e-05]
601, [3, 64, 1024, 0.001, 1e-06]
602, [3, 64, 1024, 0.001, 1e-05]
603, [3, 32, 512, 0.01, 1e-06]
604, [3, 32, 512, 0.01, 1e-05]
605, [3, 64, 512, 0.01, 1e-06]
606, [3, 32, 512, 0.001, 1e-05]
607, [3, 64, 1024, 0.001, 1e-05]
608, [3, 64, 128, 0.001, 1e-06]
609, [3, 64, 128, 0.01, 1e-06]
610, [3, 64, 512, 0.01, 1e-06]
611, [3, 64, 1024, 0.01, 1e-05]
612, [3, 64, 512, 0.01, 1e-06]
613, [3, 64, 128, 0.001, 1e-05]
614, [3, 64, 128, 0.001, 1e-06]
615, [3, 64, 1024, 0.01, 1e-05]
616, [3, 64, 512, 0.01, 1e-06]
617, [3, 32, 512, 0.01, 1e-05]
618, [3, 64, 512, 0.01, 1e-06]
619, [3, 32, 512, 0.001, 1e-05]
620, [3, 32, 512, 0.001, 1e-06]
621, [3, 64, 1024, 0.001, 1e-05]
622, [3, 64, 1024, 0.01, 1e-06]
623, [3, 64, 512, 0.01, 1e-06]
624, [3, 32, 128, 0.001, 1e-06]
