0, [3, 32, 512, 0.001, 1e-06]
1, [3, 64, 1024, 0.01, 1e-06]
2, [3, 32, 128, 0.001, 1e-05]
3, [3, 64, 128, 0.001, 1e-05]
4, [3, 64, 512, 0.01, 1e-05]
5, [3, 64, 512, 0.01, 1e-05]
6, [3, 64, 1024, 0.01, 1e-05]
7, [3, 64, 128, 0.01, 1e-05]
8, [3, 32, 512, 0.001, 1e-05]
9, [3, 64, 512, 0.001, 1e-06]
10, [3, 64, 512, 0.01, 1e-05]
11, [3, 64, 512, 0.001, 1e-06]
12, [3, 64, 512, 0.001, 1e-05]
13, [3, 32, 512, 0.01, 1e-05]
14, [3, 64, 128, 0.001, 1e-06]
15, [3, 32, 1024, 0.01, 1e-06]
16, [3, 64, 128, 0.001, 1e-06]
17, [3, 64, 512, 0.01, 1e-06]
18, [3, 32, 256, 0.01, 1e-05]
19, [3, 64, 128, 0.01, 1e-06]
20, [3, 64, 1024, 0.01, 1e-05]
21, [3, 32, 1024, 0.01, 1e-05]
22, [3, 64, 512, 0.001, 1e-06]
23, [3, 64, 512, 0.001, 1e-05]
24, [3, 32, 512, 0.001, 1e-05]
25, [3, 32, 1024, 0.01, 1e-06]
26, [3, 32, 1024, 0.001, 1e-06]
27, [3, 64, 128, 0.001, 1e-06]
28, [3, 32, 1024, 0.01, 1e-05]
29, [3, 64, 1024, 0.001, 1e-06]
30, [3, 64, 128, 0.001, 1e-06]
31, [3, 64, 256, 0.001, 1e-05]
32, [3, 64, 1024, 0.01, 1e-06]
33, [3, 32, 128, 0.001, 1e-06]
34, [3, 64, 128, 0.01, 1e-06]
35, [3, 64, 512, 0.01, 1e-06]
36, [3, 32, 512, 0.01, 1e-06]
37, [3, 64, 1024, 0.001, 1e-05]
38, [3, 64, 1024, 0.01, 1e-05]
39, [3, 64, 512, 0.001, 1e-06]
40, [3, 32, 128, 0.001, 1e-05]
41, [3, 32, 512, 0.01, 1e-06]
42, [3, 32, 512, 0.01, 1e-05]
