375, [3, 64, 128, 0.01, 1e-06]
376, [3, 64, 512, 0.001, 1e-06]
377, [3, 32, 128, 0.01, 1e-05]
378, [3, 64, 512, 0.001, 1e-06]
379, [3, 64, 1024, 0.01, 1e-06]
380, [3, 64, 128, 0.01, 1e-06]
381, [3, 32, 128, 0.01, 1e-05]
382, [3, 64, 512, 0.001, 1e-06]
383, [3, 64, 1024, 0.01, 1e-06]
384, [3, 32, 128, 0.01, 1e-06]
385, [3, 32, 512, 0.001, 1e-05]
386, [3, 64, 128, 0.001, 1e-05]
387, [3, 32, 512, 0.01, 1e-06]
388, [3, 64, 256, 0.01, 1e-05]
389, [3, 64, 128, 0.01, 1e-06]
390, [3, 64, 512, 0.001, 1e-05]
391, [3, 64, 512, 0.01, 1e-05]
392, [3, 32, 512, 0.001, 1e-06]
393, [3, 64, 1024, 0.001, 1e-06]
394, [3, 64, 128, 0.001, 1e-06]
395, [3, 64, 512, 0.001, 1e-05]
396, [3, 64, 512, 0.01, 1e-06]
397, [3, 32, 512, 0.001, 1e-05]
398, [3, 32, 128, 0.01, 1e-06]
399, [3, 32, 1024, 0.01, 1e-06]
400, [3, 64, 128, 0.01, 1e-06]
401, [3, 32, 512, 0.01, 1e-06]
402, [3, 64, 512, 0.001, 1e-05]
403, [3, 64, 512, 0.01, 1e-05]
404, [3, 32, 128, 0.01, 1e-06]
405, [3, 64, 128, 0.001, 1e-05]
406, [3, 32, 128, 0.01, 1e-05]
407, [3, 64, 512, 0.01, 1e-06]
408, [3, 32, 512, 0.001, 1e-06]
409, [3, 64, 512, 0.01, 1e-06]
410, [3, 64, 512, 0.01, 1e-06]
411, [3, 32, 256, 0.01, 1e-06]
412, [3, 32, 1024, 0.01, 1e-06]
413, [3, 32, 512, 0.001, 1e-05]
414, [3, 64, 256, 0.01, 1e-05]
415, [3, 64, 512, 0.01, 1e-06]
416, [3, 32, 256, 0.01, 1e-06]
417, [3, 64, 512, 0.01, 1e-05]
418, [3, 64, 128, 0.001, 1e-05]
419, [3, 32, 512, 0.01, 1e-05]
420, [3, 64, 512, 0.001, 1e-05]
421, [3, 64, 128, 0.001, 1e-05]
422, [3, 64, 512, 0.01, 1e-05]
423, [3, 32, 512, 0.001, 1e-06]
424, [3, 32, 512, 0.01, 1e-06]
425, [3, 64, 512, 0.01, 1e-06]
426, [3, 64, 512, 0.001, 1e-06]
427, [3, 64, 512, 0.001, 1e-05]
428, [3, 64, 512, 0.01, 1e-05]
429, [3, 32, 512, 0.001, 1e-06]
430, [3, 64, 128, 0.001, 1e-06]
431, [3, 64, 512, 0.001, 1e-06]
432, [3, 32, 512, 0.01, 1e-06]
433, [3, 64, 128, 0.001, 1e-05]
434, [3, 64, 1024, 0.01, 1e-05]
435, [3, 64, 512, 0.01, 1e-06]
436, [3, 64, 512, 0.01, 1e-06]
437, [3, 32, 128, 0.01, 1e-06]
438, [3, 64, 512, 0.01, 1e-05]
439, [3, 64, 1024, 0.01, 1e-06]
440, [3, 32, 512, 0.01, 1e-05]
441, [3, 64, 512, 0.001, 1e-06]
442, [3, 64, 512, 0.01, 1e-05]
443, [3, 64, 512, 0.001, 1e-05]
444, [3, 64, 1024, 0.01, 1e-05]
445, [3, 64, 256, 0.001, 1e-05]
446, [3, 64, 1024, 0.01, 1e-06]
447, [3, 32, 128, 0.01, 1e-06]
448, [3, 64, 128, 0.001, 1e-06]
449, [3, 64, 1024, 0.01, 1e-06]
450, [3, 32, 128, 0.01, 1e-06]
451, [3, 64, 512, 0.001, 1e-05]
452, [3, 64, 512, 0.001, 1e-06]
453, [3, 32, 512, 0.01, 1e-06]
454, [3, 64, 512, 0.01, 1e-06]
455, [3, 64, 1024, 0.001, 1e-06]
456, [3, 64, 512, 0.01, 1e-06]
457, [3, 64, 128, 0.01, 1e-05]
458, [3, 64, 512, 0.01, 1e-05]
459, [3, 32, 1024, 0.001, 1e-05]
460, [3, 64, 512, 0.001, 1e-05]
461, [3, 64, 128, 0.01, 1e-06]
462, [3, 32, 128, 0.01, 1e-05]
463, [3, 64, 128, 0.01, 1e-05]
464, [3, 32, 128, 0.001, 1e-05]
465, [3, 64, 1024, 0.01, 1e-05]
466, [3, 32, 128, 0.01, 1e-05]
467, [3, 32, 1024, 0.001, 1e-05]
468, [3, 64, 512, 0.01, 1e-05]
469, [3, 64, 512, 0.001, 1e-05]
470, [3, 64, 128, 0.01, 1e-06]
471, [3, 64, 512, 0.01, 1e-06]
472, [3, 32, 512, 0.01, 1e-06]
473, [3, 64, 512, 0.001, 1e-06]
474, [3, 32, 1024, 0.01, 1e-05]
475, [3, 64, 512, 0.01, 1e-05]
476, [3, 64, 1024, 0.01, 1e-06]
477, [3, 64, 512, 0.001, 1e-06]
478, [3, 64, 1024, 0.001, 1e-05]
479, [3, 32, 512, 0.01, 1e-05]
480, [3, 64, 128, 0.001, 1e-05]
