250, [3, 32, 128, 0.001, 1e-06]
251, [3, 64, 512, 0.01, 1e-05]
252, [3, 64, 1024, 0.01, 1e-06]
253, [3, 32, 512, 0.001, 1e-06]
254, [3, 32, 1024, 0.001, 1e-05]
255, [3, 64, 512, 0.01, 1e-05]
256, [3, 32, 512, 0.001, 1e-05]
257, [3, 64, 1024, 0.01, 1e-05]
258, [3, 32, 256, 0.01, 1e-05]
259, [3, 64, 512, 0.01, 1e-05]
260, [3, 32, 512, 0.01, 1e-06]
261, [3, 64, 512, 0.01, 1e-06]
262, [3, 32, 512, 0.01, 1e-05]
263, [3, 32, 512, 0.01, 1e-05]
264, [3, 64, 128, 0.01, 1e-06]
265, [3, 64, 512, 0.01, 1e-06]
266, [3, 64, 512, 0.001, 1e-05]
267, [3, 32, 512, 0.01, 1e-05]
268, [3, 64, 512, 0.001, 1e-05]
269, [3, 64, 1024, 0.01, 1e-06]
270, [3, 32, 128, 0.01, 1e-06]
271, [3, 64, 128, 0.01, 1e-05]
272, [3, 64, 512, 0.01, 1e-05]
273, [3, 32, 1024, 0.001, 1e-05]
274, [3, 64, 128, 0.001, 1e-05]
275, [3, 64, 512, 0.001, 1e-06]
276, [3, 32, 128, 0.001, 1e-06]
277, [3, 64, 1024, 0.01, 1e-06]
278, [3, 64, 512, 0.001, 1e-05]
279, [3, 64, 128, 0.01, 1e-06]
280, [3, 32, 512, 0.001, 1e-05]
281, [3, 64, 128, 0.001, 1e-05]
282, [3, 32, 512, 0.001, 1e-05]
283, [3, 32, 128, 0.01, 1e-05]
284, [3, 64, 512, 0.001, 1e-06]
285, [3, 32, 512, 0.01, 1e-06]
286, [3, 32, 512, 0.001, 1e-06]
287, [3, 32, 512, 0.01, 1e-05]
288, [3, 64, 512, 0.01, 1e-06]
289, [3, 64, 1024, 0.01, 1e-06]
290, [3, 64, 128, 0.001, 1e-06]
291, [3, 64, 128, 0.001, 1e-06]
292, [3, 64, 128, 0.001, 1e-06]
293, [3, 32, 1024, 0.01, 1e-06]
294, [3, 32, 512, 0.01, 1e-05]
295, [3, 64, 512, 0.001, 1e-05]
296, [3, 64, 512, 0.01, 1e-06]
297, [3, 64, 1024, 0.01, 1e-06]
298, [3, 32, 512, 0.001, 1e-05]
299, [3, 64, 512, 0.01, 1e-06]
300, [3, 64, 512, 0.01, 1e-05]
301, [3, 64, 128, 0.001, 1e-05]
302, [3, 32, 128, 0.001, 1e-06]
303, [3, 32, 512, 0.01, 1e-06]
304, [3, 64, 128, 0.01, 1e-05]
305, [3, 64, 128, 0.01, 1e-06]
306, [3, 64, 128, 0.001, 1e-06]
307, [3, 32, 1024, 0.01, 1e-05]
308, [3, 32, 512, 0.001, 1e-06]
309, [3, 64, 512, 0.001, 1e-06]
310, [3, 64, 1024, 0.01, 1e-05]
311, [3, 32, 512, 0.001, 1e-06]
