750, [3, 32, 512, 0.001, 1e-06]
751, [3, 32, 512, 0.001, 1e-06]
752, [3, 32, 128, 0.001, 1e-06]
753, [3, 64, 512, 0.001, 1e-06]
754, [3, 32, 512, 0.01, 1e-06]
755, [3, 64, 256, 0.001, 1e-06]
756, [3, 32, 512, 0.001, 1e-05]
757, [3, 64, 128, 0.001, 1e-06]
758, [3, 32, 512, 0.01, 1e-05]
759, [3, 64, 512, 0.001, 1e-05]
760, [3, 64, 128, 0.001, 1e-05]
761, [3, 64, 512, 0.01, 1e-06]
762, [3, 64, 1024, 0.001, 1e-06]
763, [3, 32, 1024, 0.01, 1e-05]
764, [3, 64, 128, 0.001, 1e-06]
765, [3, 32, 512, 0.01, 1e-05]
766, [3, 64, 512, 0.001, 1e-05]
767, [3, 32, 1024, 0.01, 1e-05]
768, [3, 64, 1024, 0.001, 1e-06]
769, [3, 32, 128, 0.01, 1e-06]
770, [3, 32, 512, 0.001, 1e-06]
771, [3, 32, 512, 0.01, 1e-06]
772, [3, 32, 512, 0.01, 1e-05]
773, [3, 32, 128, 0.01, 1e-06]
774, [3, 32, 1024, 0.001, 1e-05]
775, [3, 64, 512, 0.001, 1e-06]
776, [3, 64, 128, 0.001, 1e-05]
777, [3, 32, 512, 0.001, 1e-06]
778, [3, 32, 512, 0.001, 1e-06]
779, [3, 32, 256, 0.01, 1e-05]
780, [3, 64, 128, 0.001, 1e-05]
781, [3, 32, 1024, 0.01, 1e-05]
782, [3, 32, 128, 0.01, 1e-06]
783, [3, 32, 512, 0.01, 1e-05]
784, [3, 64, 1024, 0.001, 1e-05]
785, [3, 32, 128, 0.01, 1e-05]
786, [3, 64, 512, 0.01, 1e-05]
787, [3, 32, 1024, 0.01, 1e-05]
788, [3, 64, 128, 0.001, 1e-06]
789, [3, 64, 512, 0.01, 1e-06]
790, [3, 64, 1024, 0.01, 1e-06]
791, [3, 64, 1024, 0.01, 1e-06]
792, [3, 32, 512, 0.01, 1e-06]
793, [3, 32, 512, 0.01, 1e-06]
794, [3, 64, 128, 0.001, 1e-05]
795, [3, 32, 512, 0.001, 1e-06]
796, [3, 64, 128, 0.001, 1e-06]
797, [3, 64, 512, 0.01, 1e-05]
798, [3, 64, 512, 0.01, 1e-06]
799, [3, 32, 512, 0.001, 1e-06]
800, [3, 32, 128, 0.01, 1e-05]
801, [3, 32, 1024, 0.01, 1e-05]
802, [3, 64, 1024, 0.01, 1e-06]
803, [3, 32, 256, 0.01, 1e-06]
804, [3, 32, 512, 0.01, 1e-06]
805, [3, 64, 512, 0.01, 1e-06]
806, [3, 32, 512, 0.01, 1e-06]
807, [3, 32, 1024, 0.01, 1e-05]
808, [3, 64, 1024, 0.001, 1e-06]
809, [3, 32, 512, 0.001, 1e-05]
810, [3, 32, 512, 0.001, 1e-05]
811, [3, 64, 512, 0.001, 1e-05]
812, [3, 64, 128, 0.01, 1e-06]
813, [3, 64, 1024, 0.001, 1e-06]
814, [3, 64, 512, 0.01, 1e-06]
815, [3, 64, 512, 0.01, 1e-06]
816, [3, 64, 512, 0.01, 1e-05]
817, [3, 64, 1024, 0.01, 1e-06]
818, [3, 64, 128, 0.001, 1e-05]
819, [3, 32, 128, 0.001, 1e-06]
820, [3, 64, 512, 0.01, 1e-06]
821, [3, 64, 512, 0.001, 1e-05]
822, [3, 64, 128, 0.001, 1e-06]
823, [3, 64, 1024, 0.01, 1e-05]
824, [3, 32, 1024, 0.01, 1e-05]
825, [3, 32, 512, 0.001, 1e-05]
826, [3, 32, 1024, 0.01, 1e-05]
827, [3, 64, 512, 0.01, 1e-06]
828, [3, 64, 128, 0.001, 1e-06]
829, [3, 64, 256, 0.01, 1e-05]
830, [3, 64, 128, 0.001, 1e-06]
831, [3, 32, 512, 0.01, 1e-05]
832, [3, 32, 256, 0.01, 1e-06]
833, [3, 64, 512, 0.001, 1e-06]
834, [3, 64, 512, 0.001, 1e-06]
835, [3, 64, 512, 0.01, 1e-06]
836, [3, 32, 512, 0.01, 1e-06]
837, [3, 32, 512, 0.01, 1e-06]
838, [3, 32, 128, 0.01, 1e-06]
839, [3, 32, 512, 0.01, 1e-06]
840, [3, 64, 512, 0.01, 1e-06]
841, [3, 64, 512, 0.001, 1e-05]
842, [3, 64, 1024, 0.01, 1e-06]
843, [3, 64, 512, 0.01, 1e-06]
844, [3, 32, 512, 0.001, 1e-06]
845, [3, 64, 512, 0.001, 1e-05]
846, [3, 64, 1024, 0.01, 1e-06]
847, [3, 64, 128, 0.01, 1e-06]
848, [3, 64, 256, 0.01, 1e-05]
849, [3, 64, 512, 0.001, 1e-06]
850, [3, 64, 128, 0.01, 1e-06]
851, [3, 64, 1024, 0.01, 1e-06]
852, [3, 32, 512, 0.01, 1e-05]
853, [3, 32, 128, 0.01, 1e-05]
854, [3, 32, 128, 0.01, 1e-05]
855, [3, 64, 1024, 0.01, 1e-05]
856, [3, 64, 1024, 0.01, 1e-06]
857, [3, 32, 512, 0.01, 1e-06]
858, [3, 64, 512, 0.01, 1e-05]
859, [3, 64, 512, 0.01, 1e-06]
860, [3, 32, 128, 0.01, 1e-05]
861, [3, 64, 128, 0.01, 1e-05]
862, [3, 64, 512, 0.001, 1e-06]
863, [3, 32, 512, 0.001, 1e-06]
